gender,height,weight,age,BMI,BMI_Index
female,166.8,64.2,38,23.075065127753906,2
female,167.0,67.6,55,24.238947255190215,2
male,191.8,94.0,29,25.552338256417165,3
female,159.1,74.1,40,29.27371556140942,3
female,170.2,70.0,37,24.164562048381597,2
female,173.5,80.5,45,26.742187045818834,3
female,168.9,68.0,18,23.836891164610908,2
male,185.9,81.2,28,23.49617941127024,2
female,173.5,72.7,41,24.15101861156558,2
female,170.0,73.6,23,25.46712802768166,3
male,189.6,83.2,53,23.144439103420037,2
male,192.5,92.3,23,24.908078934052956,2
female,162.3,55.9,23,21.22143600408332,2
male,189.9,77.2,48,21.407569905282596,2
female,162.2,72.6,50,27.595287363486953,3
male,190.1,84.0,59,23.244224017869275,2
male,191.9,75.9,29,20.610656551242464,2
female,170.0,64.4,46,22.28373702422146,2
female,163.5,58.6,41,21.921087824631297,2
male,178.8,85.8,47,26.838130414545887,3
male,189.9,82.4,49,22.849530572477796,2
male,200.4,82.1,26,20.44314564483807,2
male,186.6,87.7,30,25.18699259841308,3
male,191.4,81.6,55,22.27441423204043,2
female,154.2,74.5,57,31.33195725059342,4
female,163.4,72.2,57,27.04164413196322,3
female,168.8,85.1,22,29.866523662990488,3
female,167.0,67.8,44,24.310660116891963,2
male,185.1,71.1,34,20.75184730843287,2
female,164.4,55.0,47,20.34974929108873,2
male,179.0,49.0,50,15.292905964233327,1
male,189.0,71.5,60,20.01623694745388,2
male,191.6,93.2,38,25.38779032518164,3
female,171.2,76.0,29,25.93021224561097,3
female,170.7,57.9,60,19.870624730382396,2
male,179.5,92.7,35,28.770726484121013,3
male,188.8,86.4,54,24.23872450445274,2
female,164.5,70.8,31,26.1638381020131,3
female,154.1,68.7,19,28.93020157233751,3
male,195.1,86.9,42,22.829964578088337,2
female,158.2,73.3,36,29.28808769964247,3
male,189.2,73.0,31,20.392975430096232,2
female,158.8,76.8,55,30.45511360391855,4
female,165.0,59.5,44,21.854912764003675,2
female,171.0,78.2,51,26.74327143394549,3
male,179.5,96.2,37,29.856999868095375,3
female,162.0,60.4,39,23.014784331656756,2
female,166.0,79.3,57,28.77776164900566,3
male,195.7,84.7,59,22.11575443313823,2
female,162.6,61.6,34,23.299125980189693,2
female,172.2,65.6,59,22.122670206293897,2
female,162.5,67.9,49,25.713609467455623,3
female,161.4,78.8,60,30.24956660202165,4
male,198.3,96.1,43,24.438692069682567,2
female,166.0,78.2,23,28.37857453912034,3
male,180.4,74.2,50,22.79978957822233,2
male,189.0,80.0,37,22.395789591556788,2
female,166.2,68.8,45,24.907285525826104,2
female,158.7,57.6,60,22.870129823721328,2
female,167.4,64.5,26,23.017004748996882,2
female,162.0,75.6,37,28.80658436213991,3
female,157.5,66.2,58,26.686822877299072,3
female,161.3,61.5,27,23.637763383298047,2
male,183.2,71.8,22,21.393089376632787,2
female,168.0,73.9,51,26.18339002267574,3
male,190.1,82.8,40,22.912163674756854,2
male,195.0,69.2,33,18.19855358316897,1
female,170.9,74.7,47,25.576226914202543,3
male,188.6,103.0,28,28.95701878776361,3
male,188.9,82.6,57,23.148141661022088,2
female,167.9,68.2,25,24.192624371195734,2
male,206.2,94.1,28,22.131573971199323,2
male,198.4,104.5,44,26.54807004422477,3
female,160.0,81.5,37,31.835937499999993,4
female,154.5,77.3,35,32.38340612268409,4
female,161.9,62.4,51,23.806244637395416,2
male,200.9,66.0,31,16.35249639439843,1
male,200.3,96.8,24,24.127563023911456,2
male,200.1,86.3,48,21.553441170469238,2
female,155.0,67.5,29,28.095733610822055,3
male,197.4,92.2,18,23.661192257195623,2
female,167.3,52.8,52,18.86435847425926,2
male,189.5,94.4,36,26.28775906600483,3
male,200.1,104.7,52,26.148844618170678,3
male,196.3,95.7,50,24.83541026047596,2
female,150.4,78.9,32,34.88038988229969,4
female,171.7,74.9,54,25.40628861611709,3
female,165.3,78.0,43,28.546238868339255,3
male,190.7,81.5,42,22.410741317075146,2
male,182.0,75.6,52,22.823330515638204,2
female,165.7,68.5,53,24.948564073557844,2
