gender,height,weight,age
female,166.8,64.2,38
female,167.0,67.6,55
male,191.8,94.0,29
female,159.1,74.1,40
female,170.2,70.0,37
female,173.5,80.5,45
female,168.9,68.0,18
male,185.9,81.2,28
female,173.5,72.7,41
female,170.0,73.6,23
male,189.6,83.2,53
male,192.5,92.3,23
female,162.3,55.9,23
male,189.9,77.2,48
female,162.2,72.6,50
male,190.1,84.0,59
male,191.9,75.9,29
female,170.0,64.4,46
female,163.5,58.6,41
male,178.8,85.8,47
male,189.9,82.4,49
male,200.4,82.1,26
male,186.6,87.7,30
male,191.4,81.6,55
female,154.2,74.5,57
female,163.4,72.2,57
female,168.8,85.1,22
female,167.0,67.8,44
male,185.1,71.1,34
female,164.4,55.0,47
male,179.0,49.0,50
male,189.0,71.5,60
male,191.6,93.2,38
female,171.2,76.0,29
female,170.7,57.9,60
male,179.5,92.7,35
male,188.8,86.4,54
female,164.5,70.8,31
female,154.1,68.7,19
male,195.1,86.9,42
female,158.2,73.3,36
male,189.2,73.0,31
female,158.8,76.8,55
female,165.0,59.5,44
female,171.0,78.2,51
male,179.5,96.2,37
female,162.0,60.4,39
female,166.0,79.3,57
male,195.7,84.7,59
female,162.6,61.6,34
female,172.2,65.6,59
female,162.5,67.9,49
female,161.4,78.8,60
male,198.3,96.1,43
female,166.0,78.2,23
male,180.4,74.2,50
male,189.0,80.0,37
female,166.2,68.8,45
female,158.7,57.6,60
female,167.4,64.5,26
female,162.0,75.6,37
female,157.5,66.2,58
female,161.3,61.5,27
male,183.2,71.8,22
female,168.0,73.9,51
male,190.1,82.8,40
male,195.0,69.2,33
female,170.9,74.7,47
male,188.6,103.0,28
male,188.9,82.6,57
female,167.9,68.2,25
male,206.2,94.1,28
male,198.4,104.5,44
female,160.0,81.5,37
female,154.5,77.3,35
female,161.9,62.4,51
male,200.9,66.0,31
male,200.3,96.8,24
male,200.1,86.3,48
female,155.0,67.5,29
male,197.4,92.2,18
female,167.3,52.8,52
male,189.5,94.4,36
male,200.1,104.7,52
male,196.3,95.7,50
female,150.4,78.9,32
female,171.7,74.9,54
female,165.3,78.0,43
male,190.7,81.5,42
male,182.0,75.6,52
female,165.7,68.5,53
female,168.6,78.2,57
female,162.5,81.2,57
female,167.8,61.6,36
male,169.6,70.9,35
female,163.7,59.2,53
female,168.7,67.6,39
male,194.6,83.0,44
male,200.4,87.8,43
male,179.1,81.6,52
male,183.7,79.4,32
male,195.2,83.0,47
male,193.1,98.5,34
female,166.7,62.2,59
female,171.2,65.4,41
female,154.6,76.7,40
female,164.4,68.7,38
female,154.0,58.9,51
female,164.5,82.6,30
male,185.1,79.8,50
female,160.8,68.2,60
male,193.0,98.0,38
female,164.0,68.4,35
male,190.2,87.7,32
female,165.6,55.8,37
male,189.3,74.6,31
female,165.4,64.4,33
female,173.9,80.0,49
male,183.6,80.4,19
male,177.4,78.9,52
male,192.4,75.0,46
male,187.4,87.9,26
male,190.7,78.0,48
male,191.8,107.8,53
male,184.5,86.4,21
female,162.7,77.2,50
male,191.1,93.0,25
female,166.5,78.7,42
male,188.2,95.5,38
male,192.9,75.9,55
male,195.6,104.3,31
female,163.7,72.4,19
male,186.6,87.5,24
female,165.0,69.7,45
female,162.3,60.4,35
male,185.8,83.7,21
male,181.6,85.3,19
female,164.1,62.3,30
male,203.9,74.4,54
male,191.8,74.3,32
male,185.0,77.6,23
female,171.5,85.5,55
male,177.4,95.7,36
female,169.9,67.3,25
male,201.7,77.3,33
female,167.6,69.3,30
male,194.8,70.7,25
female,164.4,64.9,39
male,175.6,83.8,30
male,190.4,76.9,51
female,165.4,67.7,42
male,191.5,106.9,55
male,180.9,76.6,24
male,188.1,88.5,23
female,167.1,73.9,43
male,195.0,94.2,25
female,167.8,72.1,54
female,153.0,73.6,47
male,186.9,88.7,43
female,163.2,64.0,30
female,169.3,72.2,28
male,188.5,91.7,19
female,170.8,82.9,59
male,189.6,91.6,46
male,189.5,81.5,21
male,192.0,80.1,59
female,173.8,62.0,22
male,186.5,67.2,38
female,175.0,69.0,22
female,171.2,85.2,30
male,194.3,76.1,57
female,166.3,82.0,60
male,199.8,74.4,36
male,190.6,76.5,19
female,176.1,91.7,20
male,178.2,87.6,46
male,195.5,87.7,54
male,184.6,86.6,59
female,163.3,71.0,32
male,200.5,94.4,56
female,172.4,79.4,38
male,183.7,90.7,25
female,163.7,82.5,46
female,170.5,72.5,30
male,198.7,88.1,26
female,170.6,82.4,32
female,163.2,64.1,44
male,196.1,110.7,54
male,184.4,73.9,54
male,180.2,84.3,47
male,187.3,74.3,33
male,200.2,87.0,47
female,166.0,53.3,34
male,186.5,86.8,34
male,194.6,73.7,29
female,172.8,74.4,19
male,189.5,107.0,44
female,156.3,61.0,53
male,196.8,77.3,18
female,166.8,77.8,56
female,161.0,67.9,49
female,172.9,73.9,45
male,194.2,86.1,47
female,161.9,71.9,25
male,190.2,90.4,47
female,168.6,76.0,27
female,164.4,58.2,55
male,169.1,93.1,59
female,173.2,70.2,22
male,194.9,86.9,34
female,169.9,67.8,51
male,192.4,83.2,52
female,174.2,71.1,57
male,196.0,91.2,53
female,165.9,70.4,56
female,172.6,74.6,52
male,186.6,76.8,21
female,158.1,78.9,44
male,194.1,89.7,23
male,197.7,95.7,25
male,202.4,58.3,50
female,163.7,70.7,36
male,186.8,78.6,18
male,189.2,95.4,19
female,156.0,67.9,28
female,181.3,67.6,55
male,180.3,90.0,29
female,170.0,83.0,19
female,164.6,71.9,26
male,190.5,80.1,31
male,192.7,95.0,28
female,166.1,74.0,44
male,187.4,85.2,19
female,171.2,72.7,39
female,158.3,59.5,48
male,189.1,88.4,55
female,160.9,69.6,58
female,161.7,58.8,49
male,192.1,106.4,21
male,187.0,93.2,18
female,174.3,71.1,48
female,164.3,83.3,27
female,164.7,74.6,52
male,191.8,88.4,41
male,194.4,87.8,23
female,160.2,68.7,19
female,174.0,79.8,41
male,191.9,98.4,36
male,199.7,75.9,48
male,190.2,83.5,20
female,159.3,74.7,36
male,198.3,74.3,34
male,186.4,87.2,41
male,195.7,66.2,41
male,193.5,90.5,20
female,165.7,76.9,24
male,189.1,86.1,33
female,165.5,64.2,43
male,190.3,96.9,26
male,192.0,76.9,49
female,162.2,61.6,58
female,169.8,64.4,42
female,162.3,82.1,41
male,192.2,82.3,37
female,159.4,69.3,23
female,170.8,73.7,55
female,163.1,71.6,21
male,191.4,83.6,52
male,200.2,83.2,48
female,166.7,75.8,52
male,187.5,90.6,27
female,165.5,72.2,21
female,176.6,61.4,60
female,157.4,73.4,57
female,162.7,63.4,49
female,170.9,70.7,47
male,192.7,88.3,42
male,196.5,110.0,37
male,189.2,66.1,27
male,197.7,77.9,20
male,190.7,91.9,44
male,189.8,89.6,40
female,156.3,67.1,44
female,164.2,68.3,51
male,197.6,79.7,27
male,207.1,78.9,51
female,170.4,81.4,23
female,156.3,69.6,33
female,167.7,67.1,19
female,161.4,58.5,32
female,173.5,79.5,34
female,172.2,70.2,31
male,192.4,93.0,37
female,164.9,78.5,32
female,160.8,80.6,39
male,195.5,87.5,51
female,160.8,50.6,46
male,190.8,79.9,56
female,156.2,86.8,37
female,174.1,58.8,47
male,187.3,88.5,25
female,172.3,69.3,43
male,182.5,64.6,33
male,189.9,80.5,59
male,177.6,91.1,30
male,194.3,93.0,51
male,187.8,74.3,39
male,199.7,86.5,42
female,167.9,67.9,32
female,176.0,70.7,37
male,177.7,114.9,34
female,170.1,77.7,35
female,166.8,71.0,52
male,189.3,66.3,40
female,161.7,78.3,29
female,163.7,49.8,48
male,190.5,77.2,26
female,161.7,71.1,38
female,167.7,57.4,27
female,169.4,77.7,52
male,192.5,93.0,39
male,183.6,80.6,55
female,162.8,63.5,45
female,169.5,64.5,53
male,200.7,91.9,48
female,158.9,84.1,25
female,160.9,68.3,49
male,186.6,88.2,52
female,161.7,60.8,21
male,194.3,93.0,28
male,184.9,90.7,47
female,167.0,76.7,34
male,200.0,99.6,27
female,165.9,74.0,28
male,182.8,77.4,53
female,165.4,61.2,27
male,189.6,99.8,23
female,166.8,75.4,21
male,189.2,78.7,46
female,162.5,68.4,51
male,192.4,79.5,56
female,160.1,68.8,19
female,163.3,72.4,36
female,166.6,73.6,48
male,191.0,84.3,37
female,165.4,74.1,19
female,159.2,74.6,28
female,166.3,69.8,30
female,170.0,70.1,60
female,168.3,66.4,30
male,167.8,82.0,51
female,172.1,91.1,58
female,164.9,84.0,31
male,185.3,88.3,19
female,160.3,73.1,55
male,186.2,78.9,40
male,190.6,71.3,30
female,162.0,72.2,55
female,152.1,59.3,57
female,165.9,62.4,39
male,189.6,76.8,30
male,178.5,77.6,49
female,161.5,70.4,60
male,174.3,71.8,56
male,186.3,79.4,54
male,185.4,101.8,18
female,157.3,69.5,29
male,193.6,96.2,46
male,189.4,89.6,49
male,193.4,87.3,57
male,185.2,85.0,46
female,170.3,62.2,24
male,189.7,90.9,39
female,169.6,66.4,28
male,177.4,76.4,59
female,172.7,76.3,26
female,167.3,72.5,36
male,181.6,86.8,47
male,194.0,69.9,39
male,195.6,79.0,52
male,190.1,82.9,40
female,169.0,64.6,41
female,164.5,63.9,39
male,194.8,84.8,42
male,184.4,68.7,21
female,166.4,70.4,24
female,164.7,75.4,50
female,162.7,79.7,20
male,194.4,100.2,42
male,197.5,76.9,52
male,190.0,70.4,54
male,188.4,109.2,22
male,179.9,86.0,19
female,169.6,73.2,55
male,193.4,77.5,24
female,162.9,63.7,58
male,191.7,69.5,55
male,187.8,94.1,20
male,185.3,82.8,45
male,184.6,72.3,25
male,189.3,91.8,29
male,177.1,94.8,38
female,160.2,70.6,37
male,193.4,102.4,48
male,201.9,86.9,40
female,156.2,76.3,32
male,193.1,99.7,33
male,202.7,92.5,43
female,164.1,71.8,39
male,176.9,87.7,37
female,160.1,63.3,38
female,170.3,79.3,23
female,166.3,81.2,29
male,191.8,66.9,58
female,161.6,73.7,27
male,183.4,91.6,44
male,198.5,85.3,23
female,162.9,62.1,23
female,170.8,65.8,50
male,194.2,72.4,56
female,164.7,75.1,37
female,176.1,64.9,33
male,204.4,78.9,41
female,165.1,61.3,51
male,189.3,80.2,42
male,195.8,83.9,44
female,166.6,61.3,45
male,194.1,87.6,28
male,185.9,94.8,41
female,175.9,78.4,40
female,170.5,72.3,24
female,173.1,82.1,30
female,170.3,61.3,24
male,201.3,105.6,55
male,185.0,87.3,37
female,171.6,67.7,35
female,158.7,64.2,46
male,196.7,82.2,52
female,156.0,90.4,33
female,171.9,55.9,24
male,194.2,95.2,36
male,183.3,89.5,40
female,151.6,77.1,54
male,200.5,77.0,28
female,161.2,78.1,27
female,167.3,68.2,57
female,167.6,68.3,47
male,172.5,87.0,37
