gender,height,weight,age,BMI,BMI_Index
female,166.83555814565312,64.23872212388754,38,23.07914182043456,2
female,166.32193422591405,67.16548882602196,65,24.27991298565231,2
male,193.4247817455343,89.34263649922072,67,23.880011597421404,2
female,167.02790419879926,67.637665519141,55,24.244350063212536,2
male,191.82225287139855,93.98511704551565,29,25.542365315541755,3
female,159.083713977938,74.11356846577492,40,29.285071011207332,3
female,167.05684903411972,82.32441907078089,62,29.49851160321319,3
female,170.16809413274973,70.00427328994257,37,24.175100151162074,2
female,173.54180613779505,80.51548268263494,45,26.73444512383547,3
female,168.9071586392831,67.97474259719922,18,23.826017649559784,2
male,185.91480471557796,81.2261348253779,28,23.499998694076204,2
female,173.4635263261689,72.7287354135196,41,24.170725959218018,2
female,167.99173382485802,85.9148593649008,63,30.443351261107498,4
female,170.0010616397075,73.56845555340693,23,25.4558950522189,3
male,189.56146244514724,83.23865802289221,53,23.164608716114937,2
male,192.52114928762037,92.33950478364238,23,24.913265131688306,2
female,162.28458109240822,55.91545294424993,23,21.23133630712026,2
female,165.09726282998272,75.2779347443048,61,27.61772809213581,3
male,192.9511062743012,100.39197200174908,62,26.965249271496067,3
male,189.93108633944732,77.21691446993496,48,21.405251702459193,2
female,172.11380824945394,66.73630624744557,63,22.52842016555814,2
female,162.18037556632066,72.5674598813035,50,27.589594529226655,3
male,190.13403444191027,83.95641550561913,59,23.223846969383157,2
female,160.55697343607957,60.66844365241293,67,23.534474647107665,2
male,191.86988655708038,75.89675658071717,29,20.616245601434013,2
female,170.01303754052392,64.35062275444871,46,22.263236542965636,2
female,163.4862509444957,58.561038079876674,41,21.910197743047238,2
male,178.754875758197,85.82772903785425,47,26.860359955425015,3
male,189.90313577734034,82.35644166796533,49,22.836697640360082,2
male,200.43508295794967,82.11424882845898,26,20.43953653828693,2
male,186.62763820234568,87.69052693015708,30,25.17681331663232,3
male,191.36389638189095,81.64833026773616,55,22.2960175461662,2
male,182.33136427808105,85.64407522431942,64,25.761702531440086,3
female,154.18212071510243,74.4664679690116,57,31.325118703413768,4
female,163.35914803183113,72.17187172331116,57,27.044630299469347,3
female,168.81546850602606,85.07106259537646,22,29.850896642346356,3
female,167.01777736996385,67.77450895453322,44,24.2963469062175,2
male,185.08562834285854,71.08041619048268,34,20.749353357227204,2
female,164.36949273443116,54.990699033756044,47,20.353861297615556,2
female,163.17711121258742,83.97085483291495,66,31.536253184171823,4
male,179.04638060046562,48.98914895540482,50,15.28159911091868,1
male,188.95721483162893,71.47134111035962,60,20.017275824635117,2
male,191.56739893845264,82.01179910970797,68,22.34771551426789,2
male,191.5711627299198,93.20232398305984,38,25.396067411633517,3
female,171.21902710538106,76.0125880443914,29,25.928743380370165,3
female,170.65375937282,57.88881787662007,60,19.877554886356908,2
male,179.51919648374948,92.73557706206813,35,28.775613218220432,3
male,188.8301480034951,86.35190340987386,54,24.217496624076755,2
female,164.4708574483959,70.76312477794013,31,26.15947894113837,3
female,154.1135102817043,68.71304994134562,19,28.930623978953374,3
male,195.11671283463352,86.9298964177293,42,22.833906620621168,2
female,160.49641882642345,70.17474104345783,61,27.24269861947817,3
female,158.24955866855257,73.31948728139191,36,29.2775279514796,3
male,189.19343037213463,73.02042037659338,31,20.40009666964106,2
female,158.8076561196757,76.82005832934428,55,30.46013057446568,4
female,164.9966990549991,59.48263857080688,44,21.849409964781962,2
female,170.9851906191814,78.22122501888022,51,26.755164122178687,3
female,167.23009928571864,67.04346870501685,63,23.9732867757747,2
male,185.9396273104097,75.90310211591665,65,21.95409874989725,2
male,179.47843788768128,96.21499211849928,37,29.868828326112823,3
female,161.96708318289024,60.40311139811569,39,23.025325989057993,2
female,165.95528823655155,79.32730097397041,57,28.80318316908767,3
male,195.7424080882872,84.69736942403014,59,22.105486038886202,2
female,162.63721886303105,61.62134558603782,34,23.296533281760496,2
female,172.16250184890202,65.58333322069315,59,22.12668510480103,2
female,162.46281463699864,67.90237966828647,49,25.726283341817027,3
female,161.44707545186665,78.83235148838838,60,30.244340344418596,4
male,198.31170236095326,96.06231558859969,43,24.426225707426223,2
female,165.9981555361679,78.2466546526254,23,28.39613641835965,3
male,180.39828411938674,74.19592670721498,50,22.79897166232365,2
male,193.3112679751215,90.09513563929686,66,24.10943342366863,2
male,188.97059832948503,80.02038153182158,37,22.408466724598053,2
female,166.20955376868434,68.7510174844243,45,24.886691421392058,2
female,158.7455863839235,57.59090759319404,60,22.853388573354348,2
female,167.43689971255756,64.53337744386266,26,23.018766485112497,2
female,162.01911618379796,75.58166491709747,37,28.792802404143888,3
female,157.52099056138167,66.17719131324175,58,26.6705187279718,3
female,161.28925483888972,61.508602268847596,27,23.644219760525665,2
male,183.198402858211,71.84558692950154,22,21.40704543225442,2
female,168.03929661001123,73.91726750871655,51,26.177260451801917,3
male,181.06275996925783,86.3949779614746,65,26.35300994820206,3
male,190.10905333307028,82.79886268745172,40,22.909666806618233,2
female,169.30071824438667,66.8092470073803,63,23.308749568896687,2
male,194.95849513109548,69.19396059190831,33,18.204714067699634,1
male,184.28647928820624,101.3012996487441,66,29.828270369140224,3
male,182.01294043173084,76.48819517552515,69,23.08818968702989,2
female,174.99651025792986,75.48305151327328,66,24.648510065712514,2
male,182.21893825340516,80.64922758423684,65,24.2891987596548,2
female,170.87654846357154,74.72621558230317,47,25.592225999809763,3
male,188.56060502449728,103.01528407832186,28,28.97341842889667,3
male,188.88446437497865,82.60726852848148,57,23.153986952442214,2
female,167.90791322260282,68.23731179251426,25,24.20357849371177,2
male,206.23530677987185,94.10215783664745,28,22.124504252464956,2
male,198.4462570840474,104.53059695539896,44,26.54346446182135,3
female,160.0409370241941,81.49788747326885,37,31.818828109603785,4
female,154.54034099202934,77.29992741237376,35,32.36647129889428,4
female,161.91919281232958,62.37405182637446,51,23.790704157955147,2
female,162.55514647573258,59.4997199141981,69,22.517152743712902,2
male,200.85350344969854,65.95325306534536,31,16.348480686025436,1
male,200.2657860149502,96.78843444025644,24,24.132924052858403,2
male,200.0808205081463,86.25901388394959,48,21.547335286461532,2
female,155.0249981761965,67.46645333020581,29,28.072714592832572,3
male,197.37790039828013,92.24829373485832,18,23.678887396528438,2
female,167.28101299569596,52.755113109932786,52,18.85260025694933,2
male,189.45945268343868,94.43715505756045,36,26.309363334938862,3
female,163.90554369922728,79.35478982972931,65,29.53832470575957,3
male,200.13949460925048,104.723444790822,52,26.1443784806824,3
male,196.30373154132116,95.74529790229931,50,24.846221031145134,2
female,150.4205312695444,78.86224469517582,32,34.854182269082344,4
female,165.55275967401542,63.57203493123534,65,23.194940572418233,2
female,171.72710873802183,74.93647934696864,54,25.410637996106953,3
female,165.33580251658913,77.98044713508159,43,28.526724351126518,3
male,190.65360661993657,81.4791225254612,42,22.415905791274444,2
male,181.96616027129033,75.58596830997975,52,22.82758239906009,2
female,165.6965320098706,68.46975795437511,53,24.938593424285333,2
male,195.94721467914718,75.81787833490209,64,19.746650431445516,2
female,168.59568868484007,78.24262708673075,57,27.526468328955165,3
female,162.50148894657306,81.15680536396295,57,30.733374919069682,4
female,167.84352854710073,61.57930661055637,36,21.858763551860665,2
male,169.6002080712814,70.93280567440442,35,24.660074074463743,2
female,163.69543232534278,59.23418017912581,53,22.105444874738133,2
female,162.49930926949307,71.70373872155699,64,27.154309415510888,3
female,162.0129880249317,56.09501923059156,61,21.37098982660783,2
female,168.69869818483423,67.6221929939964,39,23.761058765132056,2
male,194.6343628433093,82.98580099923026,44,21.906084310983143,2
male,200.38881219975175,87.81230492218604,43,21.867968254921095,2
female,172.61476778087527,72.358114335803,66,24.284621775180504,2
male,179.1035957853327,81.56794073156962,52,25.42792302476466,3
female,163.78962361223174,90.33412279896703,61,33.67278689520693,4
male,183.72350440879353,79.41200427937659,32,23.52646712880673,2
male,195.20934380049957,82.95870231127284,47,21.770116183722873,2
female,157.95054479286821,56.75374322043359,63,22.748473249077257,2
male,193.05182772650033,98.52362545926151,34,26.435805578950365,3
male,186.9426503393325,69.86169498755146,68,19.990438803315637,2
female,166.66206721796414,62.18337651772123,59,22.387251157489494,2
female,171.2432066716413,65.4081616524539,41,22.30515469490667,2
female,154.5732388505574,76.72061709424769,40,32.11023421464563,4
female,164.4222865107885,68.71759986762117,38,25.41830669598346,3
female,154.00908235242272,58.850161417092615,51,24.81161262433583,2
female,164.52304546578247,82.59105615517073,30,30.512622755335,4
male,185.0669009507238,79.79369393437702,50,23.2975936169385,2
female,161.48255242638186,77.83856053735896,61,29.849948438097584,3
female,160.77712536482494,68.24939818921938,60,26.40281954505418,3
male,193.04151852263914,98.00625401055959,38,26.29979356064954,3
female,163.9708592815283,68.41612504474674,35,25.446328405962362,3
male,190.24896251823097,87.68775789148641,32,24.22670613339116,2
female,165.55500970568215,55.829345295540904,37,20.369383311754937,2
male,189.205635478825,73.43444782932664,68,20.513118944397142,2
male,189.32300821690725,74.63856428024803,31,20.823632175983757,2
female,165.35273292413598,64.42839466177573,33,23.564300686457866,2
female,173.93943649170035,79.95810017069205,49,26.428124804956415,3
male,183.5866565916313,80.41974816985443,19,23.86055182317572,2
female,163.96848102265753,75.00529922668828,64,27.897879948681485,3
male,177.36582529534837,78.88366263305441,52,25.075360125732942,3
female,162.37655525595278,65.0017433317395,69,24.653487119148604,2
male,192.3880638237165,75.04826040100762,46,20.276098015206067,2
male,187.41331149816648,87.93949387943162,26,25.037046319129928,3
male,190.66740939608917,77.9871042920845,48,21.452102498152332,2
male,191.75344995242114,107.75825427647638,53,29.306514811151935,3
male,184.47463045996227,86.35428834719957,21,25.37526646107238,3
female,162.72448106441556,77.15992639303566,50,29.139762931195616,3
male,191.10582018576017,92.95863812341227,25,25.45317273910201,3
female,166.52931839401862,78.69744632859995,42,28.377833162632722,3
male,188.23922779768853,95.47276408559463,38,26.94382388192276,3
male,192.93672710734918,75.89513296468479,55,20.388445378023892,2
male,195.5544210438655,104.33359747714357,31,27.282797822085175,3
female,163.720209402319,72.35870304651014,19,26.995177728824817,3
male,186.55668286745657,87.54731137380209,24,25.15481867595044,3
female,164.97559011960792,69.6604907439624,45,25.59452939547215,3
female,162.27029128441515,60.43510400068792,35,22.951508884223458,2
male,185.75999553897663,83.73481103046049,21,24.266193738195042,2
male,181.64454217770464,85.3214314696456,19,25.859101250016092,3
female,167.38957718000094,77.82361425813059,61,27.775032231272082,3
female,164.05570769472598,62.347909503069594,30,23.165368183505663,2
male,203.94087311543313,74.42163381389766,54,17.893308574229522,1
male,191.80285273505936,74.26311341082247,32,20.18659305699682,2
male,185.04631374066852,77.61302501670437,23,22.665939988219144,2
male,185.92068939671893,75.60844430229318,68,21.873327729570978,2
female,171.52950889755027,85.4895775747346,55,29.05597697790238,3
male,177.39259586093084,95.68792321394292,36,30.407880573150273,4
female,169.88513684671193,67.25273245271356,25,23.302320193734204,2
male,201.71416463208976,77.2780761219562,33,18.992560107737635,2
female,167.63458920267016,69.33688646542124,30,24.67385833842011,2
male,194.80447488510174,70.73350789189652,25,18.639203022823192,2
female,164.42034771234074,64.8621320476635,39,23.992753682029946,2
male,175.6474977990106,83.84811671223521,30,27.17749207059549,3
male,190.41452903810142,76.94200345115796,51,21.220876830076225,2
male,194.84905928581802,81.37500997117931,68,21.43356577255902,2
female,165.35557897374062,67.72463017201453,42,24.76902648877974,2
male,191.4620451650333,106.85094895036113,55,29.14828425933821,3
male,180.94708929490184,76.561461225751,24,23.38336510412175,2
male,188.12651236370846,88.46312710224886,23,24.995525904466483,2
female,167.12683151418747,73.87376927215226,43,26.448308339622752,3
male,194.95676073682014,94.1987151595443,25,24.78382755269428,2
female,167.80529143483852,72.12061755921414,54,25.612273694693965,3
female,152.95863588693183,73.64225106700765,47,31.475964854457086,4
male,186.86874673038875,88.73533683411769,43,25.411087775412742,3
